dataset,intents,time_elapsed,num_samples,lr,samples_per_batch,accuracy
clinc,150,3030.059268951416,800,150,0.0005,800,0.9506666666666667
banking,77,655.9396088123322,600,77,0.0005,600,0.7805194805194805
banking,77,1155.8113930225372,800,77,0.0005,800,0.8051948051948052
banking,77,2278.4887878894806,1000,77,0.0005,1000,0.8168831168831169
hwu,64,1236.3773260116577,800,39,0.0005,800,0.7838709677419354
hwu,64,1367.0656397342682,1000,39,0.0005,800,0.7580645161290323
hwu,63,1611.2715821266174,1000,77,0.0005,800,0.8403225806451613
banking,77,2227.5396797657013,1200,90,0.0005,1000,0.8285714285714286
bankingtrain,77,0.022195100784301758,1,30,0.0005,1,0.012987012987012988
bankingtrain,77,961.5879678726196,800,30,0.0005,800,0.6363636363636364
bankingtrain,77,1491.3426895141602,1000,30,0.0005,1000,0.6116883116883117
hwutrain,63,1425.2803220748901,1000,63,0.0005,1000,0.717741935483871
hwutrain,63,2003.229215145111,1200,63,0.0005,1200,0.7403225806451613
hwutrain,63,2212.9422585964203,1200,63,0.0005,1200,0.7193548387096774
hwutrain,63,4114.244813203812,1500,63,0.0005,1500,0.7225806451612903
hwutrain,63,3534.8386182785034,1500,63,5e-05,1500,0.7354838709677419
hwutrain,63,3525.871189594269,1500,63,5e-05,1500,0.75
hwutrain,63,3727.190198659897,1500,63,2.5e-05,1500,0.7370967741935484
hwutrain,63,3730.6136865615845,1500,63,2.5e-05,1500,0.7403225806451613


clinctrain,150,2389.1805205345154,1000,150,2.5e-05,800,0.6293333333333333
clinctrain,150,2195.636650800705,1000,150,0.0005,800,0.792
clinctrain,150,2747.210510492325,1000,150,0.0005,1000,0.7746666666666666
clinctrain,150,7073.842784881592,1500,150,0.00025,1500,0.8066666666666666
clinctrain,150,202.99509692192078,1500,150,0.00025,1500,0.5186666666666667
clinctrain,150,425.59068059921265,3000,150,0.00025,1500,0.6413333333333333
clinctrain,150,2788.3275814056396,10000,150,0.00025,3000,0.7706666666666667
clinctrain,150,2762.2079753875732,20000,150,0.0005,1500,0.772
clinctrain,150,6367.057832479477,35000,150,0.0005,2000,0.7746666666666666
clinctrain,150,6297.304743051529,35000,150,0.0005,2000,0.78
